UUID,10c_OpenEnds,10c_A,10c_A0,10c_A1,10c_A2,10c_A3,10c_A4,10c_A5,10c_A6,10c_A7,10c_A8,10c_A9,10c_B,10c_C,10c_D,10c_E,10c_F,10c_G
2d581265-1f43-4180-9cf8-85b3a92b6aad,"The right to education, the right to work and so on ",1,1,1,,,,,,,,,,,,,,
2d58fe58-71f5-4457-b9c0-14406e647cfd,I do not know ,,,,,,,,,,,,,,,,,1
2d7fa960-c186-4234-9322-41097c7b8c9d,"An inclusive government should be formed by the international community and the people of Afghanistan. We can better achieve human rights for men and women, and ensure the work of all human beings, and lead a peaceful world in peace. As a young Afghan, I want to decide. Thank you to the international community of the world's most urgent organizations for Afghanistan. ",1,1,,,,,1,,,,1,1,1,,1,,1
2d954ff9-e5a9-4007-98bd-4e0f72ea5877,It is good for women because their rights are not respected ,,,,,,,,,,,,,,,,,1
2dfa45ee-1baf-4bb6-95e0-83e13295ca71,"In my opinion, the Taliban has not changed much from twenty years ago. The international community should boycott the Taliban and put pressure on them to form an inclusive government. Women should also participate in the government and achieve their rights. Recognize until a comprehensive government is formed and women's rights are respected ",1,,,,1,,,,,,1,,,1,1,,1
2e08636a-b3b4-4d7b-a814-6bbad1e4369e,Open girls' schools ,1,,1,,,,,,,,,,,,,,
2e184cdc-84c0-44d3-9a48-55e692ec8054,End of Taliban ,,,,,,,,,,,,,,1,,,
2e25b849-8c85-41a4-9111-fed0fdcc1642,Women's rights according to Islamic law ,,,,,,,,,,,,,,,,,
2e52863b-9a57-43bd-9d67-3cfaeb83d530,It will appear to me ,,,,,,,,,,,,,,,,,1
2ea03ee5-8a16-4be9-b33b-55528f2d546c,Very good means freedom of expression ,1,,,,,,,,,,1,,,,,,1
2ea0e065-e82f-49cb-9f87-814b2e938b0c,Women's freedoms must be restored ,,,,,,,,,,,,,,,,,1
2ea33108-b56f-4bea-8b72-e2880cf77b37,Schools are open to girls. Women work in the community and so on. ,1,1,1,,,,,,,,1,,,,,,
2eac5048-db6f-4f08-b435-ae8b3afc8d19,The word (human rights) has separate meanings. It is a legal issue. ,,,,,,,,,,,,,,,,,1
2ee3da5c-6d49-4cc3-a5f9-18224fe9f714,Should be given ,,,,,,,,,,,,,,,,,1
2eebedb6-4e69-491f-abf8-889062858429,Women are also human beings and Allah has given them rights. What rights can be given to them within the framework of Islam? ,,,,,,,,,,,,,,,,1,
2f535e8c-2aef-4bef-b384-6fff2c93de18,Ensuring women's rights and access to their human rights ,1,,,,,,,,,,1,,,,,,1
2f55fd61-744a-4c0d-a93c-aa992a34e520,"Women make up half the population of a nation. Girls' schools should be allowed to go to school, and women should be allowed to work in ministry offices. ",1,1,1,,1,,,,,,,,,,,,
3024fa77-9227-433f-8b67-5164454e35a7,Islam in Rana ,,,,,,,,,,,,,,,,1,
3048a820-d905-46da-9873-56fce177f202,Makes progress and ease of work ,,,,,,,,,,,,1,1,,,,
306c60c7-8d6a-4e66-8f45-b9cad97dc3a6,"Women are an important member and foundation of a society, their presence is a definite matter ",,,,,,,,,,,,1,,,,,1
30710962-87c4-4c29-9937-48cfdb8c56eb,I do not know ,,,,,,,,,,,,,,,,,1
30a928fc-b386-4b86-98f2-feee48fc3cd5,"Women also have the right to education and work in society. As the Taliban rule, no one is satisfied with this ",1,1,1,,,,,,,,,,,1,,,
30c35288-6e15-4507-9451-b7ef53eccb37,"Supporting professional women and allowing them to continue their business and, of course, reduce the pressure on the student body ",1,1,1,,,,,,,,,,,,,,
31129c0b-d16e-4247-8074-5f46925a456b,"Human rights activists in Afghanistan, even children are not safe. I personally want an institution to take me out of Afghanistan because I am threatened with death at any moment. I do not feel safe. I have no money. I am a graduate. Can you help me? ",,,,,,,,,,,,,,,1,,1
31356c72-285c-4851-9899-14097cace8c3,Educated girls can not roam freely ,,,,,,,,,,,,,,,,,1
3142cd3c-bb47-47ac-af91-cfa13efbeaf2,"Achieving human rights for women in Afghanistan is a great thing because in the current government, women's rights have been completely abolished. Girls are locked up in school. Women are not allowed to work in the office. They are ",,,,,,,,,,,,,,1,,,1
31793135-8bd1-498b-a5fe-4d5e015626f2,"In my opinion, whoever is has their rights ",,,,,,,,,,,,,,,,,1
3181030e-06d3-42df-945c-3da0c3f392f7,When school opens ,1,,1,,,,,,,,,,,,,,
3184b5da-050d-4cf7-b444-4c2a2d054880,Their rights must be restored ,,,,,,,,,,,,,,,,,1
31a3317a-2461-48e1-b364-0de63f307115,Anti-Islam and showing the false face of Islam to the world ,,,,,,,,,,,,,,,,1,1
31a9a96c-782b-467a-8bee-ffb026bf8d45,"Now women are being harassed a lot. They can not go anywhere. Women have no right. Currently, people with disabilities say that women do not have the right to go to school. ",1,,1,,,,,1,,,1,,,1,,,1
31b4626d-cad4-47b2-99a9-c214397d9d28,Women's rights must be respected ,,,,,,,,,,,,,,,,,1
31e1eaef-744b-4906-97e8-6e8a19e82c24,Form an inclusive government in accordance with women's rights at the international level ,1,,,,1,,,,,,,,,,1,,1
320141f5-d89c-4561-afbd-99ee5de43d10,it will be OK ,,,,,,,,,,,,,,,,,1
32661bdf-394d-43b9-a70d-2623e2f69e7f,Very nice and useful ,,,,,,,,,,,,,,,,,1
3296be50-508d-40b5-8158-77256ea177b0,Continue their education and employment in national and international affairs ,1,1,1,,1,,,,,,,,,,,,
32f1c747-0f12-431d-a377-7a61a7224179,No other law in the history of mankind has given women better rights than Islamic Sharia. It would be better to give Sharia rights to women. ,,,,,,,,,,,,,,,,1,
331b3d7a-ab28-4da9-8bc6-d8891dcc03f8,"Opening schools, giving jobs and so on ",1,1,1,,,,,,,,,,,,,,
3384f2c1-bf31-4892-8f0e-a70bf9de8262,It is necessary ,,,,,,,,,,,,,,,,,1
338c52cd-f259-4fd0-847b-eb9b41e32dd5,very good ,,,,,,,,,,,,,,,,,1
3398c7f8-5cd4-4879-a424-ffa0ce95cddc,Access to human rights is good for women ,1,,,,,,,,,,1,,,,,,1
33f17c37-d7b9-42d9-84f1-cce005b2ba18,that's great ,,,,,,,,,,,,,,,,,1
33fc3bb1-f542-4820-9692-6a32f0921831,It is currently in the worst condition ,,,,,,,,,,,,,,,,,1
34009950-35bc-488a-9293-986f583dfeee,It will look great because now is the time to compete with the world ,,,,,,,,,,,,1,1,,,,1
34078691-4eac-43ff-a2d7-c9d1a90c510e,Continue to study individual freedoms ,1,,1,,,,,,,,1,,,,,,
343ed3ec-51a5-40cf-82a2-c610169f2df0,Let the country prosper ,,,,,,,,,,,,1,1,,,,1
345b8397-dda8-4e36-a00a-0736656c3284,This shows me progress in education and employment for women ,1,1,1,,,,,,,,,,,,,,
3493c14b-2c6c-4597-80b4-3c764c50f495,We must respect women's rights ,,,,,,,,,,,,,,,,,1
34a4f609-7080-44d6-a411-207208d741a7,Women should be given their rights ,,,,,,,,,,,,,,,,,1
34ac6041-34ef-4f12-af43-cf5c308f82d3,Creating seminars and group activities by active women and gaining women's trust by women themselves ,1,,,,,,,,,,1,,,,,,1
34df0ea2-3c2e-4ea2-aa29-a56f0195f633,equal rights ,1,,,,,,1,,,,,,,,,,
34f54a5b-3939-4ead-8b25-2f130e070b58,"Women are certain to get their rights and live freely as they wish. In Afghanistan, women do not live a single percent of their lives. ",1,,,,,,,,,,1,,,,,,1
34f733a9-8811-4451-9cd3-fceca8103cbf,It is important for women to participate in society ,1,,,,,,,,,,1,1,,,,,
350fbbb5-f3a0-4e88-a588-e71a97c3ae98,We give women's rights in the framework of Islam ,,,,,,,,,,,,,,,,1,
35255240-1f85-43a8-ba22-8733bb71a420,"Women must be freed, schools must be opened ",1,,1,,,,,,,,,,,,,,1
3535ea6f-b67f-4c04-8bc2-d9ad2080b063,"In a society where human rights are trampled on, talking about women's rights is futile ",,,,,,,,,,,,,,1,,,
35400c83-8c72-47c6-bb3a-47576852b260,"I do not know, but priority should be given to women ",,,,,,,,,,,,,,,,,1
354861bc-f413-4fa2-9ead-8f3638b1ed62,Achieving human rights is a good and acceptable job for women ,,,,,,,,,,,,,,,,,1
35638bec-ff1e-42eb-a1f0-d018508662f7,"In my opinion, women should not be harassed, their rights should be given. Another important point is that education should be given 100% attention. Torture and sexual harassment should be stopped and so on.",1,,1,,,,,,,,1,,,,,,
356ec264-9e21-41e0-b295-a2400de47635,More pressure on the Taliban from the international community ,,,,,,,,,,,,,,,1,,
3593dcaf-7743-4389-a0ad-8ab755d16c20,It would be better if it is within the framework of Islam. ,,,,,,,,,,,,,,,,1,1
35a10af7-acf8-479f-a9f0-ef57ac42e283,The light of Afghan and Islamic values seems to us to be in line with today's demands ,,,,,,,,,,,,,,,,1,1
35af2fef-7d6c-4d9b-9982-63f6ac9e982a,"If the Taliban with full power in Afghanistan, it will be difficult for women to achieve human rights .... ",,,,,,,,,,,,,,1,,,
35b85f56-8a83-43d4-a84e-671cabfb08e7,I agree with the achievement from the Islamic point of view ,,,,,,,,,,,,,,,,1,
362abf1e-7ad9-425b-89d9-0104b34ee323,Very little if the government is in the hands of these oppressors ,,,,,,,,,,,,,,1,,,1
362ce20b-046f-4bbc-9840-1b16d60ff30d,"These rights are determined by Islam in the Qur'an and are not debatable. Women are half of society۔ And the health, hygiene, education, cultural, etc. needs are mostly met with them (but within the framework and framework set by Islam)۔ ",1,,1,,,1,,,,,1,,,,,1,
363093ab-c03f-4442-9a67-bee6c0571622,Like iftar for the fasting person ,,,,,,,,,,,,,,,,,1
3637d785-ae2d-420a-a465-fec941515baf,It would be great ,,,,,,,,,,,,,,,,,1
363cbc30-bcac-4ca2-90e4-f8575f3dfb64,"In my opinion, there are more important problems and concerns than women's rights in the country that the world should pay attention to. Including the insecurity of lives that can occur due to financial poverty and the start of civil wars. The issue of lack of bread to eat and a place to sleep for Afghan women is much more important than learning knowledge and science that is not practical and can not help de-descent and progress and solve Afghanistan's future problems. ",,,,,,,,,,,,,,,,,1
36413fe5-895b-469b-a577-4c4b66e15016,With the departure of the Taliban or the inclusion of the government ,,,,,,,,,,,,,,1,,,1
367fbf19-49ab-4e02-bf17-f3c9c1fd47b8,There are no women's rights ,,,,,,,,,,,,,,,,,1
3694ea8d-af57-4497-966b-c0f320b8e731,If women are given their rights in a society then it is clear that this society will have a bright future. ,,,,,,,,,,,,1,1,,,,
36aca826-29d8-45e7-8ed8-714f98666d19,"What was in this field in the time of Zahir Shah and Daud Khan, I think, is acceptable. ",,,,,,,,,,,,,,,,,1
36dc9fb2-334c-45a6-a3f2-a64d9e38902e,"Despite the power of the Taliban, women's human rights are unlikely to be achieved. If the Taliban are recognized, it will be completely impossible for women to achieve human rights. ",,,,,,,,,,,,,,1,,,
36e09dfa-4a9c-4960-94b2-06e4c0cd2262,More work needs to be done ,,,,,,,,,,,,,,,,,1
37037fbd-a4c4-4a30-9909-66bed8f4ab41,Liberalization of schools and revitalization of labor ,1,1,1,,,,,,,,,,,,,,
371fe6a8-c1ea-42ed-b53f-27124394b42e,"He should have full rights in terms of education, work and everything, not just homework ",1,1,1,,,,,,,,1,,,,,,1
372e4b21-8c8b-4462-8e54-a3903cdc14a6,Going to school Going to work It is the duty of women to attend political assemblies ,1,1,1,,1,,,,,,,,,,,,
373a9e08-99ea-449a-9c1a-3088a43fd475,"In Afghanistan, women's rights are fully respected and alimony is paid to them. ",,,,,,,,,,,,,,,,,1
3743b8a8-348e-4681-9865-8ec1efc26da6,"Islam loves justice, extremism and heresy are forbidden ",,,,,,,,,,,,,,,,1,
37470460-8088-44e5-b153-6b76b74c502e,"In my opinion, achieving women's rights can be and is necessary for the welfare of society and a bright future for all classes and nations. Because women are part of the body of society and have a special and undeniable role in enlightenment ",,,,,,,,,,,,1,1,,,,1
37673621-59fa-4357-bef5-420a405bfa37,"It is very difficult because there is no demand for women's activities in Afghanistan. If foreign forces enter Afghanistan, they will say human rights or this or that. ",,,,,,,,,,,,,,1,1,,1
376c092c-21f9-413f-a975-1eb1157d980e,"In my opinion, the achievement of human rights for women should be fair and delicate, and they should have equal rights and consider their abilities in all areas. ",1,,,,,,1,,,,1,,,,,,
376e4fb2-5fef-46be-9b7e-62f3d60c4575,Lighter and the size of a house ,,,,,,,,,,,,,,,,,
37b8b3fa-8537-4d6e-b26c-4b5d783fdc6a,It will be useful ,,,,,,,,,,,,,,,,,1
37e4bb91-f3d1-4fe9-9666-80ab941e5cbd,It will be very good ,,,,,,,,,,,,,,,,,1
37f015af-119a-47a4-87b0-51dd1c54e5ce,"It is difficult in the current system. A woman is half of the society, a woman is a wife, a woman is a mother. Efforts must be made. To give the rights of women in our country ",,,,,,,,,,,,1,,,,,1
37f2d0d1-5c05-4eb2-a945-7218a8c2dcdd,That they are like men and there is no difference between men and women should enjoy all their rights because they are half of human society! ,1,,,,,,1,,,,,,,,,,
383cfff2-798e-45f7-bdf3-9f6f51707b8d,This will give them their full rights ,,,,,,,,,,,,,,,,,1
385bc6c1-108d-4cd5-84a3-6dd66483508a,It is a right given by Islam to women and if the servants of Allah accept it then it will be better ,,,,,,,,,,,,,,,,1,
38938627-de29-4f2a-866b-c5b33ae41f19,Achieving human rights for women under the Taliban will be impossible unless the international community takes serious and practical action. ,,,,,,,,,,,,,,1,1,,
38ddfc8b-a16b-4237-8916-6a4bb2dcd2bb,We need the cooperation of the United Nations. ,,,,,,,,,,,,,,,1,,
38ebfec9-aa6e-409c-b770-b5fa83c713ac,Inclusion of all work for all ,1,1,,,,,1,,,,,,,,,,
39380ed3-c892-4946-882c-0e2ca023404f,"To some extent, it would be good if it is the predominant Islamic framework because we are all Muslims and we must respect our religion because the religion has respected us. Islam, may God have mercy on you ",,,,,,,,,,,,,,,,1,
3947fd2b-8a4c-4b0b-995a-435cc779de8a,"In my opinion, there should be an uprising against the Taliban. The Taliban cannot rule ",,,,,,,,,,,,,,1,,,
3949f310-4682-4b70-bfa8-3124a9a215f1,"In the framework of Islamic law and Hanafi jurisprudence, not as the Taliban do. ",,,,,,,,,,,,,,1,,1,
395cbad9-38f8-4478-bf80-50571c0cf6dc,Under the umbrella of Islam ,,,,,,,,,,,,,,,,1,
39621348-0bf5-45f8-bae0-0df557b287c6,The best solution for a prosperous and democratic society ,,,,,,,,,,,,1,1,,,,1
39668595-9fec-484b-b44d-0728654af0ed,Sharia to the divine rules ,,,,,,,,,,,,,,,,1,
39708131-4407-49bd-9e95-7ccff350d7f4,Problem ,,,,,,,,,,,,,,,,,1
398b1b21-81a1-4a46-ac65-be4a6eeba777,Every human being has his own personality and the government's ban on human personality has dire consequences ,,,,,,,,,,,,,,1,,,1
39abb4fb-88c8-4b59-8ea5-bb25bb469460,So as not to be completely free but to be somewhat independent ,,,,,,,,,,,,,,,,,1
39f78a10-d650-46aa-ad31-80048080de70,Makes Afghanistan prosperous ,,,,,,,,,,,,1,1,,,,
3a237939-4894-4149-8dba-c5d794e77191,"In the presence of the government of the Islamic Emirate, I think it is impossible ",,,,,,,,,,,,,,1,,,1
3a45f187-2a9a-484c-8b05-2919343c5bdb,"Half of the world's population cannot be eliminated. The Taliban are trying to eliminate women with an extremist and one-sided system based on no knowledge other than personal entanglements. There should be no reason for women's rights to be guaranteed at all, and this issue should be unquestionably practiced in any society. But if the Taliban continue to rule, women will be oppressed beings who will have to sacrifice their personal aspirations and goals, which, while reassuring themselves, will lead to the development of a society in which there is nothing positive. ",,,,,,,,,,,,,,1,,,1
3a5939c2-65ff-4561-a3a9-fb5d5235896a,Women make up a large part of society and their rights need to be restored ,1,,,,,,1,,,,,,,,,,1
3a6cd05b-054e-4774-9094-694c7d4f5032,"An inclusive government for all women of all ethnicities, the right to education, freedom of expression, family work, and a variety of women's civil and human rights ",1,1,1,,1,,,,,,1,,,,,,1
3aa86e42-ecb7-4fef-9495-02564f1345df,In accordance with Islamic law and compliance of international powers with Sharia law ,,,,,,,,,,,,,,,1,1,
3ac98752-1e0d-40df-bf08-457d88a59694,"Human rights should be given to everyone as before, even more than before ",,,,,,,,,,,,,,,,,1
3ad17673-6614-481f-9c8c-816b86175a80,Women are an essential part of society and can be said to be one of the strongest infrastructures in Afghanistan in terms of development and literacy. ,1,,1,,,,,,,,,1,1,,,,
3b6edb3d-76c3-4be5-900b-c8af05581a5a,Opening of schools in universities The presence of women in work and business and full respect as a human being for women's rights ,1,1,1,,,,,,,,1,,,,,,
3b9506f6-4e9a-42c1-ad30-4cbd2d830ae8,It looks great ,,,,,,,,,,,,,,,,,1
3b968c5d-ced2-4477-b270-dc6ec8599dcf,"In the current situation, it is impossible, so the Taliban imposed restrictions on women ",,,,,,,,,,,,,,1,,,
3b96d8f8-232a-41f4-b91d-8c7afff8511d,"think the education of women is paramount for the survival and success of the family system, as well as its effectiveness in health, education and training. Women have great rights in respecting the culture of this country ",1,1,1,,,1,,,,,1,1,,,,1,
3b9f4e6b-1f16-47a7-b5a4-58ae795d8748,Very good but in the circle of Afghan tradition and Sharia ,,,,,,,,,,,,,,,,1,1
3ba2e075-3e9d-4a2c-9985-6ada425e8c60,Success ,,,,,,,,,,,,,,,,,1
3bcd4be7-f0f5-4dca-a922-3a6ec7465337,"Truth is truth, much fame will be revealed ",,,,,,,,,,,,,,,,,
3c11679b-893b-46dc-8a92-806de8599a11,It will be difficult for women to regain their rights ,,,,,,,,,,,,,,1,,,1
3c1c95ab-426a-4a53-98ab-cff39d868a72,Only the right to work and enjoy human rights ,1,1,,,,,,,,,1,,,,,,
3c1ee84c-6134-4f7d-b980-5236e55b86f2,"The Taliban must recognize and implement the rights and participation of women in power in a certain percentage, and this process must be monitored by international institutions in order to regain the trust of the international community and other countries, and to control the right of women to education. Keep it open and have no restrictions in this regard. ",1,,1,,1,,,,,,,,,,1,,
3c2a5362-c4fe-4599-82f9-9fe4e484c363,It's better ,,,,,,,,,,,,,,,,,1
3c30ee11-3137-45c1-a853-e7a60ef516d2,Give them the right to education in full ,1,,1,,,,,,,,,,,,,,
3c45a0f1-6833-4bd7-956f-c4ffe5f73fac,Free labor and services ,1,1,,,,,,,,,1,,,,,,1
3c8a5306-0dd7-41b4-950d-3ba45b888615,It will be great ,,,,,,,,,,,,,,,,,1
3ca516e9-5f49-44db-9b7d-dbb83adf1bf2,Women can contribute to the freedom of the nation and its development ,1,,,,,,,,,,1,1,1,,,,
3d0fed1e-4fad-4561-8b0d-3885496d476a,All human rights principles and regulations must be considered ,,,,,,,,,,,,,,,,,1
3d2287f5-2e9f-4905-a5a5-a08607b8bf93,One view is that women should be given a share ,,,,,,,,,,,,,,,,,1
3d26bd84-9671-4f92-830c-a09d2bcaaa4b,It is very good that human rights are enforced ,,,,,,,,,,,,,,,,,1
3d2beb8c-d070-4300-91c3-b96aa3c845c3,It is very effective ,,,,,,,,,,,,,,,,,1
3d307b84-5c86-48db-b9e1-9f3d88464e17,It is good to be educated and to have a job in a suitable position ,1,1,1,,,,,,,,,,,,,,
3d47c42b-3076-4aa8-b254-03f27fc3fcd5,"The best way for neutral human rights women in the country is to defend their rights, otherwise it will be very difficult for them, even if it is far from their basic rights. ",,,,,,,,,,,,,,,,,1
3d72d491-cd06-414c-a93c-0c8feb99402b,Women's rights must be upheld soon ,,,,,,,,,,,,,,,,,1
3d88a608-ca3d-4914-92f2-ef0a8ba5adc0,Human rights are not as effective as they are propagated and the Taliban do not give full sharia rights to women. ,,,,,,,,,,,,,,1,,1,1
3d8967b9-79eb-4168-b3ac-4d2212aee818,Human rights activists are not considered for rent to women ,,,,,,,,,,,,,,,,,1
3da7ccfd-67a9-48c5-8fda-300b97761393,It will be great because women make up half of society. We really want women to have full rights and a share in the rights of society ,1,,,,,,,,,,1,1,,,,,1
3dca488f-8467-4ebd-bff8-437a816b11f2,The issue of women's rights should be decided jointly by the religious and modern scholars of Afghanistan. ,,,,,,,,,,,,,,,,1,1
3dcd6089-b58e-402a-84f4-51b46d9772ea,Good economic literacy Cultural works ,,,,,,,,,,,,,1,,,,1
3dd445c0-05b9-4463-8ab5-53f6b9f3e54d,"In the current government, it is very difficult for women. Students should not be allowed to work as girls because of their education, because we need women a lot in hospitals and schools. ",1,1,1,,,,,,,,,,,1,,,1
3e0923b7-6115-4320-84c6-a746c04a41bd,Give women the right to education ,1,,1,,,,,,,,,,,,,,
3e16156e-fdbe-4ab1-b374-0a841a7f3208,We want to find a solution to the problem of women's human rights. They must allow education and so on. Thank you ,1,,1,,,,,,,,,,,,,,1
3e1c9796-3e02-4b90-9f4f-e5a4f61bcdd4,Ensuring the religious and human rights of women and realizing its importance by the Taliban ,1,,,,,,,,,,1,,,,,1,1
3e1ec165-e6cb-44af-ae6e-733db1c8b374,"In the current context of Afghanistan, women's access to human rights is zero ",,,,,,,,,,,,,,1,,,1
3e3b1f4c-2968-45ff-9474-f94a0407e250,The complete separation of religion from politics and the elimination of the distinction between men and women. ,1,,,,,,1,,,,1,,,,,,1
3e60fa9d-05fb-4dee-bec0-de4d0a56b6b7,Very useful ,,,,,,,,,,,,,,,,,1
3e94164f-d82a-4fa2-aab8-56f421567611,Women should blind those who are not women so there is no society ,,,,,,,,,,,,1,,,,,1
3e9a134b-8533-44ba-969a-fc969bb18b4e,"Human rights are very important for women, children and others in the country. It must be very active ",,,,,,,,,,,,1,,,,,1
3e9be06c-7aa7-46d2-81a6-1eb77d551e51,It will be great ,,,,,,,,,,,,,,,,,1
3ed72f4c-549e-45f4-bd87-c05151fdc25d,"In my opinion, as long as the level of knowledge of the people remains the same, there will be no hope for the rights of women or minorities. ",,,,,,,,,,,,,,1,,,1
3f3a71cf-2d5f-4667-a1c3-59281d0bda67,It will never be possible with the continuation of the Taliban rule ,,,,,,,,,,,,,,1,,,
3f6ec10e-8bf0-49e1-9e57-6550a7618f33,I have no answer ,,,,,,,,,,,,,,,,,1
3f792e37-f497-498d-94d7-7b01d9221f32,The right to education The right to work The right to equal pay for men and all the rights that men have should be returned to women ,1,1,1,,,,1,,,1,,,,,,,
3fa92b0d-c699-45cd-9e37-6f23c76137ee,"As long as women do not enjoy their basic rights in society, which are the right to study, study, work and social activities. Children and future generations will be violated in education, and society will be plunged into the abyss of destruction by isolating women. ",1,1,1,,,,,,,,1,1,,,,,
3fa991d9-76b9-4c4d-9fb5-454c41fd8c27,It is very useful and beneficial ,,,,,,,,,,,,,,,,,1
3ffa4090-1b96-4177-8eef-174b1f49c61a,So that women do not have the right to education and the right to work in society in accordance with Islamic norms and are not deprived of their rights. ,1,1,1,,,,,,,,,,,,,1,
3ffd2011-9809-48be-b65c-33cdef02c61f,Very hard ,,,,,,,,,,,,,,,,,1
403341ec-50f6-4357-97d7-859b8adb5332,"All citizens should be given the same rights without any gender discrimination, no one should feel alienated in the country, we must give equal rights to all Afghans for the stability and development of the society. ",1,,,,,,1,,,,,1,1,,,,
403cc450-a292-4c44-baf6-237da72e294b,"It seems that Afghanistan is not in a position to discuss rights, it is only a Muslim bloc .... ",,,,,,,,,,,,,,,,,1
408c0bc1-314a-4db5-b198-c6bb1644db4a,It is well established that women are one of the pillars of our society and a supporter of life ,,,,,,,,,,,,1,,,,,
40b9ae17-c8e6-4191-9ce9-04f383d929c5,It is not bad or beneficial ,,,,,,,,,,,,,,,,,1
40c15d71-c987-476d-a109-518aeb06bc42,I'm sorry ,,,,,,,,,,,,,,,,,
40d9b90a-ab71-417e-9882-76a5995b98ea,"The rights of a woman in the context of the holy religion of Islam, especially in the Qur'an, are clearly stated that every Afghan woman is obliged to implement and implement it, and disobeying it itself shows the rejection of the Qur'an and the religion of Islam. ",,,,,,,,,,,,,,,,1,
40e2bb7c-b4fd-4968-8d33-5728a0069c1b,no acssesss for women governmeny ,,,,,,,,,,,,,,,,,1
40ee858d-50b8-4c4d-89a5-76d33fe664e0,It's the right of everyone ,,,,,,,,,,,,,,,,,1
40fcd433-f339-457a-9013-84e3e1e74047,Observance of all the precepts of the religion of Islam ,,,,,,,,,,,,,,,,1,
410c6820-cfc6-445b-b020-9e8bacd8dcf6,"Woman is, in fact, life. ",,,,,,,,,,,,,,,,,1
411f2af2-bd1f-4faa-b00e-09c8f22f8cf2,Achieving human rights for women should have the right to education and the right to work ,1,1,1,,,,,,,,,,,,,,
4157ec6b-987e-4d90-b7fa-9273367e9dda,In the emergence of a comprehensive and law-abiding government by the votes of the people so that all people can live freely in it and have their citizenship rights. ,1,,,,1,,,,,,1,,,,,,1
4161b3d0-13dd-4840-966b-ef6918e95861,I do not know ,,,,,,,,,,,,,,,,,1
4181148e-1bff-45eb-9862-fdc4dda0adf4,It is a good decision because I have said before that women have the same right to education as men. ,1,,1,,,,,,,,,,,,,,
4190f3dd-e860-4008-8b68-f460ada7d560,Women's rights must be taken into account according to the conditions of the Holy Quran ,,,,,,,,,,,,,,,,1,
4191003a-5e6f-4898-af22-e693bc3e21bc,According to international law adopted by the United Nations ,,,,,,,,,,,,,,,1,,
4192580f-ea05-453e-a096-ba3e1f760f32,Fur makes up half of society. The role of fur is very important for the development of the society. ,,,,,,,,,,,,1,,,,,1
41c8685a-18c3-40d9-ab86-19111157d156,Women's rights should be divided equally ,1,,,,,,1,,,,,,,,,,
41d9eba5-3321-49be-aa3b-376333e4c6aa,"Actors do not have access to anything Women's freedom is the right of every human being, especially women, who make up half of society. This is my desire for freedom of expression. ",1,,,,,,1,,,,1,1,,,,,1
41f46c32-0ec9-4d06-861b-6378ca2c7f7e,That's a good thing ,,,,,,,,,,,,,,,,,1
422ab0ee-10ea-4b78-8dd3-b0c820f1bc57,It will be very good ,,,,,,,,,,,,,,,,,1
422e814d-7c2a-49da-b39d-09439e001874,"It can play an important role in the overall situation in Afghanistan. Provide opportunities for girls in higher education, which is crucial for Afghanistan. Capacity building and job creation for women artisans. ",1,1,1,,,,,,,,,1,1,,,,
4246c6c6-ed93-4064-8322-fc0b5409793e,Try to make women active in the society in the form of Islamic culture and serve the people ,,,,,,,,,,,,,,,,1,1
4250450c-78e8-4f60-8fc7-c1717dbc3df1,Women should get their rights because our religion gives women their rights ,,,,,,,,,,,,,,,,1,
42574524-040e-429c-84de-e8c661ba2fc7,Women are half of society and should share in the leadership ,1,,,,1,,1,,,,,,,,,,
4287ef4a-1b3f-404e-8a86-c3876d95fe62,Women are human beings and half of the body of a society must have access to human rights to defend women's rights. ,1,,,,,,1,,,,1,,,,,,1
42937543-1348-49c0-85be-b4173dfeefea,I can not say anything ,,,,,,,,,,,,,,,,,1
42a0d0d5-3c92-4c18-ac8f-000e211fb813,There will be sedition ,,,,,,,,,,,,,,,,,1
42db1f8f-8c7a-4f61-9fa2-d344201b42f8,The field of work and education will be very good for poor women and families who do not have a female husband at home. ,1,1,1,,,,,,,,,1,1,,,,
42ec540f-ac11-4469-bc99-2a7ad16049fb,It is good to study ,1,,1,,,,,,,,,,,,,,
431dd6d5-1015-4235-8dbb-679d64bfbc17,"Women should have equal rights as men should be allowed to work and study, and any institution, both inside and outside the country, should help women achieve their rights and support women. ",1,1,1,,,,1,,,,1,,,,1,,
43471073-7d2d-455f-9e69-a49f73679c98,"Women are like human beings, human beings are not valued by race or gender. ",1,1,,,,,1,,,,,,,,,,
43574892-7126-487d-b5a5-f715c1abf6d1,Men and women should be given rights ,,,,,,,,,,,,,,,,,1
4379db41-4e64-43bb-8d1d-c88d436389ed,The study of work became free and he lived to his heart's content ,1,1,1,,,,,,,,,,,,,,
43ad300b-2c0e-42ea-a52a-5fe90ed9cd0f,"I do not want the Taliban to rule over the people of Afghanistan anymore because they are savages, they are harassing the people a lot, they are killing innocent people, they are committing genocide. ",,,,,,,,,,,,,,1,,,
43ad6947-bb0a-4a86-ac91-92675b920980,The situation is not good for women and other people ,,,,,,,,,,,,,,,,,1
43b36a2e-6eac-4455-bf10-180ee4c0fe9c,Bad ,,,,,,,,,,,,,,,,,1
43c01c9a-4d0a-4bed-9680-1a42015ebf28,Wise decision ,,,,,,,,,,,,,,,,,1
