UUID,10b_OpenEnds,10b_A,10b_B,10b_B1,10b_B2,10b_B3,10b_C,10b_D,10b_E,10b_F,10b_G,10b_H,10b_I,10b_J,10b_K,10b_L
eeef539d-a2bc-49ed-8433-c3b844b396fa,I want an explanation of human rights ,,,,,,,,,,,,,,,1
43642f57-5eaf-4351-b4d5-52a8c23f46e7,"If pornography is practiced in our society in the name of human rights, I do not agree with it. ",,,,,,,,,,,,,,,1
4a7be9af-6594-43bb-b4bd-0002bc44a2d9,"If women work in government, they must perform their duties in the Islamic hijab ",,,,,,,1,,,,,1,,,
b84f1da4-b7e0-4f30-84b8-4f6dfc52c908,"I'm not good because a woman is not disrespectful, but sometimes her mind does not work ",,,,,,,1,,,,,,,,
479a33ae-2dd3-4bc5-84f3-c8c9c1f2b60f,I'm not sure if this is a good idea. ,,,,,,,1,,,,,,,,
043edf7e-e1c4-4ceb-89f0-e3ac20112564,"I'm not sure if your rights are right, Islamic law treats you and does not respect the religion of Islam and religions ",,,,,,,1,,,,,1,,,
b7645a8d-0936-4f0b-a18a-ec6236c42214,"I'm not sure, because there are no women in Afghanistan who want their freedom and there is no one. ",,,,,,,1,,,,,,,,
eda8bd3d-166f-477f-85ed-1a552aedfcfa,"In Afghanistan, religion has been sacrificed to politics, and politics is very complex and unknown ",,,,,,,,,,1,,1,,,
91f29328-b94e-4051-9e52-c1e2d284d10c,"In Islamic law, a woman is not allowed so much freedom that she has to sit in a class with foreign men and study, and we follow Islam. ",,,,,,,1,,,,,1,,,
54641aa1-53ce-410b-af3c-d4b76d902ed8,"In the current government, women have a lower status ",,,,,,,,,,1,,,,,
01f25933-7f85-4cb8-b9e1-2abf228610eb,"In the Islamic field, I have no knowledge. If there is no Islamic conflict, then I agree ",,,,,,,1,,,,,1,,1,
b25ce407-927d-4d0c-b93a-aa59b558959b,"In the previous government, women's human rights were abused by both men and women ",1,,,,,,,,,,1,,,,
98dcd2a3-621c-4602-b924-a1a986c2697e,Islam gives special rights to women so it is not permissible for a woman to work outside the home ,,,,,,1,,,,,,1,,,
e7455c46-2176-4960-8e7e-752eca71e06d,Islam has given many rights to women. ,,,,,,1,,,,,,1,,,
ce2a0ae0-bd35-4d7c-a237-7186b65e1d3c,Islamic rights activists ,,,,,,,,,,,,1,,,
33c35229-f004-4278-b4cd-20cb229656b7,It has no practical aspect ,,,,,,1,,,,,,,,,
9f181dca-8420-4bf0-9ef9-35edf9e5fc45,It is cruel to have no mercy on anyone ,,,,,,,,,,1,,,,,
4b9a6538-3142-4f8e-ad0a-d0b5c630c5fe,It is not bad ,,,,,,1,,,,,,,,,
c7a8c6ed-c8f0-4df9-b4cd-d89ad8c70fb0,it is not clear ,,,,,,,,,,,,,,1,
c339b000-6be8-44e5-abd1-9aebc6d23a60,It is unknown ,,,,,,,,,,,,,,1,
6244eb62-b6a9-4fd5-91b8-a45519788ace,"it, s not your business ",,,,,,,,,,,,,,,1
017779c9-894a-426a-be5d-ce17afe919a6,"it, s not your business ",,,,,,,,,,,,,,,1
73ea3cf6-184b-4dc4-a994-046b4cc4df40,It's because of the many disciplines that women should not have a share. ,,,,,,,1,,,,,,,,
a5036140-fa51-4364-9859-357787c313ae,Maybe the Taliban will have good governance in the future ,,,,,,,1,,,1,,,,,
7c9331ba-a76c-4f54-9fee-3de31810c640,My country needs bread and food. It needs universal peace ,,1,1,1,,,,,,,,,,,
c5f17e4c-e314-4868-a067-fea51edb26c2,"My enemy is Islam, the homeland of America, infidels, Jews, Christians and the West ",,,,,,,,1,,,,1,,,
682c84ac-b7c4-4d0f-b204-c9a91539e892,"Other goals are pursued, not enforced ",,,,,,,,,,1,,,,,1
c34f3fa8-7626-467e-afe1-8b34aaa2fec0,Our country is facing many more problems which must be solved first ,,1,,,,,,,,,,,,,
83d1766b-1395-49c1-b9f5-2abc416d6705,Our opinion is useless ,,,,,,,,,,1,,,,,
49a2454e-c8af-4116-abd7-772236b34f4d,Our priority is food we don't have and another is uncertainty about the future ,,1,1,,1,,,,,,,,,1,
4125cc50-8e8c-45c4-a293-904947237789,People do not like to live quietly ,,,,,,,,,,,,,,,1
782f26e4-3b6a-4860-a1ce-4a11bc84b4d0,Rights are more a slogan than an action ,,,,,,,,,,,,,,,1
7f6413d3-1348-463f-a1fa-786f61b19606,Security ,,1,,1,,,,,,,,,,,
34db0ded-742f-4e90-a93a-9ad5e3f145ae,security problems! ,,1,,1,,,,,,,,,,,
891df6b7-42a3-4a09-a2e1-9e2ea737da78,Sharia rights should be given to women ,,,,,,,,,,,,1,,,
548d47a9-59b4-45c2-907e-b45ca84ae95a,"Since Islam has given enough rights to women and the Taliban are committed to Islamic poetry, God willing, they will fully defend the Islamic rights of women. ",,,,,,1,,,,,,1,,,
41f703f7-7f59-48ec-bf2a-16df49444ac1,"So Allah knows now, but it is calm, so Allah knows what will happen next Tuesday ",,,,,,,,,,,,1,,,
a8726d31-dadd-4792-8818-6a405e93a57d,"So far no one was able to send in the perfect solution, which is not strange. ",,,,,,,,,,1,,,,,
94d9aad9-7077-4ab5-b906-91d0ff48dd1d,"Some women really work, but to some extent. They do immoral things to defame a woman, they also defame a woman ",,,,,,,1,,,,,,,,
0eaf2063-c388-48e6-ae8d-944bcb17e128,Steam as women's rights have been violated ,,,,,,,,,,,,,,,1
3ab8421c-ee71-41c3-9782-d3bb3674311f,"That is, a woman should be at home with iodine, so we need to have a female police officer, and so on ",,,,,,,,,,,,,,,1
1fa0bc73-8d42-44c7-a8a3-e76d698d5f18,"That's because we want women to be given their rights, but not to the same extent as in the past. ",,,,,,1,1,,,,1,,,,
ec3c053a-c216-46c8-902c-9a09f57b1366,"That's the decent thing to do, and it should end there. Then there is the issue of women's human rights ",,,,,,1,,,,,,,,,1
9faf5f77-bf0f-4ee0-b70c-75db8f5c0637,"The ancient culture of our country, if you know, was not a place for women, and this is more of a democratic view ",,,,,,,,,,1,1,1,,,
71b6622d-3f46-4ba1-8b30-823ea44ebaf5,The current idea of statesmen can not be accepted ,,,,,,,,,,,,,,,1
9bd0bb90-6034-4ff1-ae82-a9f08df6f644,"The decision about the people of our country is the responsibility of our own people, not the curtain ",,,,,,,,1,,,,,,,
9123a802-6b15-4d24-8e0f-ad1441398014,The future of women is unknown ,,,,,,,,,,,,,,1,
397d587d-369e-4722-bae0-ed1694a2b808,The future situation is unknown ,,,,,,,,,,,,,,1,
a6c9e1c1-9d82-4c4e-847d-f2d4a5c5f056,"The government should be committed to the Islamic and religious rights of women, not to Western human rights, which are in conflict with the national interests and national and Islamic values of our country. ",,,,,,,,1,,,,1,,,
9340120d-084e-46ac-9b9f-7d77e9999cd0,"The human rights issues in Afghanistan have no basis in Islam. The rights that should be given to women are rights from the Islamic point of view. The rights that Islam has given to women, if given, could have an impact on the future of Afghanistan. ",,,,,,,,,,,,1,,,
8b1b8fe4-f90b-4e9f-be39-b0977501a647,"The issue of human rights without any guarantee will not be just a claim, while the possibility of human rights being guaranteed in the country may only be reflected in the media, but it will control the night as it is now and kill thousands of young people in this land. They arrive ",,,,,,,,,,1,,,,,
5bcc2a22-e3be-4518-8342-dea86dd5e1de,"The Messenger of God, may God bless him and grant him peace, says that a woman is the corpse of the devil. ",,,,,,1,,,,,,1,,,
7f73c159-8cbd-47e9-8599-5eb2d6b212c6,The movement must protect its dignity in the light of Islamic law ,,,,,,,,,,,,1,,,
de5da635-9ad5-429a-8c82-880d10eb47df,"The priority should be security and other means of Afghanistan's economy, not women's issues. The Taliban should allow education in India, God willing. ",,1,1,1,,,,,,,,,,,
16f7f92f-f1dd-43e8-b502-3fa4d4d33107,"The reason why most of us, Afghanistan, are Muslims, and the beliefs of us Muslims, is that, whatever God Almighty has revealed to us in the Qur'an, we must follow, do, and conform to, the poetry of Islam, which Is not an obstacle ",,,,,,,,,,,,1,,,
0bd44024-748b-4238-b965-2847f936ddd6,The result of an ambiguous Afghanistan ,,,,,,,,,,,,,,,1
103f8c76-998c-43bd-ae8f-eee218f999a8,The situation has become such that nothing is even slightly predicted. ,,,,,,,,,,1,,,,,
4738382f-062e-46c4-b075-3f9249df417f,The situation is improving in my opinion ,,,,,,,,,,,,,,,1
40e83683-e044-4f8f-a1ce-12e145478193,The Taliban are slowly giving away women's rights ,,,,,,,,,,1,,,,,
b0a34cf2-6222-4a8b-a967-173760e8f09e,The Taliban buys the credentials of their desires ,,,,,,,,,,,,,,,1
bb8ba81f-f197-4655-b501-7c208b6568c5,The Taliban do what is in Islam ,,,,,,,,,,,,1,,,
1549bbdb-405c-4632-8f4d-986a838ee07e,The Taliban have not yet been recognized. ,,,,,,,,,,,,,,,1
02bd33c8-9934-462f-b1cb-1e3dcc2cd489,The Taliban of the Emirate can not have a real representation of dear Islam. We respect women's rights and because Islam has given them rights. ,,,,,,,,,,,,1,,,
36273eb9-a35c-48b7-ab45-4c155664e310,The time has not come ,,,,,,1,,,,,,,,,
68420142-677d-4b20-bc11-72dc15a8f128,The United States and the United Nations are not living up to their promises ,,,,,,,,1,,1,,,,,
33009100-8970-4ae6-91b5-1f5b5f9c9cb3,The woman is destined for housework ,,,,,,1,,,,,,,,,
7052419a-6e79-467a-8861-9906c0a67496,The work is broken ,,,,,,,,,,,,,,,1
3c3f000c-ce2e-45ff-842d-dfe432d2a228,There are other priorities as well ,,1,,,,,,,,,,,,,
f4f63d31-2b4b-4153-a2f0-2ec09170f945,There is a gap between the Taliban and the aspirants for democracy ,,,,,,,,,,1,,,,,
4009e59c-1809-4540-9df5-c950295b7ba2,"There is a lot of war, everyone is out of school ",,,,,,,,,,,,,,,
1c206c0b-007a-4379-87a3-5abc3c87d3e5,There is a way to come to America ,,,,,,,,,,,,,,,1
4e1199c6-36ad-41f0-b06a-1bace5082a4b,There is no doubt that the Taliban are different from the previous Taliban. ,,,,,,,,,,,,,,,1
d6c69cf2-46c2-494e-a7da-39c47ebd2eee,There is no power that can replace the Taliban that has a clear policy and ethnic and linguistic acceptance! ,,,,,,,,,,,,,,,1
b2f26332-6001-450b-87b0-a794e56a2cc0,There is no real excuse for human rights in any country right now ,,,,,,,,,1,,,,,,
a3300859-ef04-4273-92df-0ae441e716bb,There is no safe environment for women in the previous government ,,,,,,,,,,,1,,,,
1b9aa14b-ffaa-4f16-a1a7-38d359a4c9ea,These people should not be trusted because they are very useless people ,,,,,,,,,,,,,,,1
78af3035-dfb9-4628-9808-edc39998fee4,They are not afraid of war because they defeated the world superpower ,,,,,,,,,,,,,,,1
e9fb8584-8958-4dfe-b1f0-2b89f15e072e,"They use women's rights and the fundamental rights of citizens in all directions. In that sense, I am not sure what the future holds. ",,,,,,,,,,,,,,1,
46853536-715e-4daf-87a0-e87af7416dcf,"think it is very good that first a special general thought and not a woman, yes, a man, a woman, a child, a young woman, achievements of twenty years ago, but not negative things, such as bribery of the legacy of mafia rule, etc. The Taliban, of course, as long as the spontaneity of the thieves and the Taliban are spontaneous and revenge is impossible. In the current wisdom, there is no comfort for human beings. ",,,,,,,,,,1,,,,,
ec9376de-c672-4e51-a26f-a258ef6168c6,"Unfortunately, the situation is chaotic ",,,,,,,,,,1,,,,,
0e4e6306-31b1-4319-ad95-8887cfe03fe7,"Unless female teachers are teaching, I don't think it's necessary and female staff should have a special place in their place and position, not mixed. ",,,,,,1,1,,,,,,,,
79e74743-a59c-44f8-b75e-9d6a740112a7,We are very pleased with the Emirate to keep Hemito stable ,,,,,,,,,,,,,,,1
4081028c-08d0-4f9e-b680-8753f02d0b38,We know that the rights of women that Islam has given to women cannot be given by any religion or ideology and they have no religion so there is no need for my decision. ,,,,,,,,,,,,1,,,
0c64506e-b76a-47c8-bcc3-e42229a43791,We must prioritize Islam ,,,,,,,,,,,,1,,,
530560d4-bd39-443e-b4db-bc6c94ad0626,We want peace ,,1,,1,,,,,,,,,,,
3d95af5c-0251-4d74-bc1f-cc7b9924b938,"Well, human rights, the western countries that talk about human rights, if we see how many suicides are registered and how many rapes are committed every day, I think the best right is the right given by Islam and religion, not the established rights. , The problem is in humans themselves ",,,,,,,1,1,,,,1,,,
be6a3e68-de98-4c71-b177-3e7e246f273a,"Well, I do not believe in any group ",,,,,,,,,,,,,,,1
f61afb14-b11d-46fb-88b3-338729ef82c8,"Well, I do not know what to do ",,,,,,,,,,,,,,1,
413625e6-5454-4ec9-bf2d-dba8b9f23a7c,"Well, I'm not sure, because I can not judge the current situation ",,,,,,,,,,,,,,1,
0c527987-147f-4064-984d-b78a8490c70c,"Well, what can I be sure of? ",,,,,,,,,,,,,,1,
0d2fdc8b-006c-4fd0-9c15-86b8dbab7c82,What Islam demands of women is not in this question. We are Muslims. We are our own society. Islam is a good thing. It is not just a matter of asking what Allah has shown me in them. ,,,,,,,,,,,,1,,,
b45e0f3b-42d6-4908-841a-61d25292b1af,"What you say about human rights is not true for the adulterer of Afghanistan who wants rights and pursues it the way he does. Afghanistan is an Islamic country in which the rights of all are defined in this religion and no one or group can claim these rights from the people, women and all members of the Afghan society. Today, there is a conflicting view between the international community and the Taliban-held government of Afghanistan, each of which thinks that they themselves know the truth and do not accept the other's talk. ",,,,,,,,1,,,,1,,,
6bbb101f-286c-4417-bfec-aa0414ef8d9d,Which I do not have an opinion ,,,,,,,,,,,,,,1,
79cc7078-ed63-4525-afe6-e754879dce17,"Who will come back and change the lives of the people so soon that the role of women is taken into account? On the other hand, in the Afghan dress, patriarchy has always ruled. ",,,,,,,,,,1,,,,,
a21bbadd-aaee-4047-b282-15e3d2359cf4,"Why is it that God and the Qur'an have determined the rights of human beings, if they are employed or educated or traded, but they have the right of Islam in the name of women's rights or human rights? He does not accept because the under-20s have no good at all. What is religion? What is Islam? All of them use internet mobiles. does not have",,,,,,,,,,,,1,,,1
9ddd0eb7-7bb0-42ef-af83-bd0be496a3c7,will be fine ,,,,,,,,,,,,,,,1
4f51a7de-1bd7-476d-839a-5e387f48288c,"Women are half of a society and it cannot be said that the issue of their rights is not important because it is very important, but the current situation does not demand that it be a priority for the world community or any other donkey. ",,1,,,,,,,,1,,,,,
515f45ca-fdc4-450d-8b08-09e6001747bf,Women have even been barred from being marginalized from their basic rights ,,,,,,,,,,1,,,,,
bb2d64a6-497d-4464-b8a5-cd67658ec6b8,"Women have the right to work, but they cannot be included in politics because of the greater emotion they have ",,,,,,,1,,,,,,,,
1dafbeda-5c4a-421a-b65c-3cbba44f0f34,"Women have the rights that should be given to them, only some girls are out of school and they will return soon. ",,,,,,1,,,,,,,,,
c1dc18ea-d6f2-40ff-a9fd-243c0e37e7da,Women must follow the religion of Islam ,,,,,,,,,,,,1,,,
f4f8e0eb-a683-4e56-8ae1-70d1f5b962be,"Women will be given legitimate and sharia rights and the spread of illegitimate desires and prostitution must be stopped. The right to education, the right to choose, the right to life ",,,,,,,1,,,,,1,,,
ee1de02a-4f55-4698-bf08-911570a299cd,Women's education is necessary but the international community is pushing for this issue for its own political purposes. ,,,,,,,,1,,,,,,,
189d410d-9135-46ef-a0fa-5981a579f1dc,"Women's human rights may vary between different religions, ethnicities and races, making it difficult to reach a specific decision. ",,,,,,,1,,,,,,,,
3851a36b-22e8-482b-a968-7d5451b405f4,Women's rights in Afghanistan were bad and as it continues they made no difference ,,,,,,,,,,1,1,,,,
ab695dfd-3757-40a9-a5e8-96cc824c52d0,Zakah to establish the Islamic system and stand on its feet but not human rights but Islamic rights ,,,,,,,,,,,,1,,,
TOTALS:,,11,34,12,13,10,26,27,31,7,67,15,72,1,46,48
PERCENTAGE OF TOTAL:,,3.75%,11.60%,4.10%,4.44%,3.41%,8.87%,9.22%,10.58%,2.39%,22.87%,5.12%,24.57%,0.34%,15.70%,16.38%
