UUID,11a_OpenEnds,11a_A,11a_B,11a_C,11a_D,11a_E,11a_F,11a_G,11a_H,11a_I,11a_J,11a_K,11a_L,11a_M,11a_N,11a_O,11a_P,11a_Q,11a_R,11a_S,11a_T,11a_U,11a_V,11a_W,11a_X,11a_Y,11a_Z,11a_AA,11a_AB,11a_AC
af1d6daa-1e2c-4caa-b12d-b48fe6e69f10,All human rights are more important for women ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b05bce63-c7fe-409f-ad03-4f5a886bebe1,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
b25ce407-927d-4d0c-b93a-aa59b558959b,their respect ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
b2a48bf7-91ec-4736-b72d-35ce4b6928c8,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
b33aee5e-d722-4a7d-8ca1-a708a30cbe7e,the freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
b418474d-a3f5-4495-88e8-763a68dfa84d,Education Job Home ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
b45e0f3b-42d6-4908-841a-61d25292b1af,"The right to education, the right to work, the right to freedom of speech, in the framework of the right of being a woman in the society, who is an individual who will be harmed sooner in the society, who should consider the society, the government and the people. ",,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
b469ab64-5e6d-443f-9ff2-13b1b8d2ea49,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
b5608cd4-6b69-4143-8560-6e3afdd82fee,freedom work ,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
b5c864db-e7e8-41ff-bf5c-1b5b803d5ce3,The right to study and work in office affairs ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
b70ac07f-e585-4784-bd88-89a3cb08c4ac,All items ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7478b5c-09f9-4c48-a4a1-40e9471c72a7,The right to study freedom of speech ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
b7f682b4-70a8-4e3c-b38c-8ed7d2b411de,"Women's rights and men's rights are the same, rights must be right ",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ba484348-20c1-4779-a07b-6a978ff4441a,The right to education lived without fear and personal benefits ,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,
ba80709a-9aa9-4562-b841-527011382665,The right to education and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
be823883-8c39-47b3-b00a-e13db31c5012,"In Islam, any rights that are given must be given ",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
beb59d85-a07d-4303-860a-c0292c2ded8c,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
c032a314-5bcc-497b-b917-b5afc089280e,"The right to education, the right to wear clothes, the right to work, and the right to participate in government ",,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,
c1a6edaa-95de-47cd-8afe-caf5da6e2a7b,Restoring the rights of others ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
c1dd99fe-afea-4afc-b3d3-9af17dc5066b,"Education, work and social activity in the framework of religion and custom ",,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,
c2f6b8d4-aa2e-42a2-b6dd-25e875001c1a,"The right to education, wearing clothes, traveling without Muharram ",,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
c3792d97-088c-46b4-acf1-97e5a251dc8a,Women going to school and hospital without Muharram ,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,
c4cc537c-cf40-421e-91eb-31f5deb21de7,Work and education ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
c539c8c7-14e9-40fe-8696-ea3cbe86ee99,Giving rights to women ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
c5f79bca-9978-4bdf-8db1-484721db4ad5,"Like a man, he has the right to buy education and dowry ",,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,
c60afa92-4da3-4fa1-a9b0-6618431d8700,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
c7669ca4-0251-405f-b817-5cc64c79c1ee,right of husband ,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
c780c564-6631-4753-99e4-fbb1268a4782,Respecting the rights of women in society ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
c8cfda9c-fb6c-40b5-af97-0d82ff5406a4,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
caeb14a9-4d75-4f85-bd4c-6b75928f4183,The right to study and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
cc316c83-cadd-4fc3-b888-f086e0bea2ca,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ccdc3a36-1e03-44a2-af73-5a1fad3628b3,"Studying freedom in choosing a spouse, freedom of employment ",,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
cef1ecaa-d9a0-4c95-88cf-4974f50337ca,"Being free in all decisions of life, what to do, what to wear or who to marry ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d08fed26-0532-49b6-81ff-c903c89a42f3,the right to freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
d141bfde-e949-419f-9445-6236e2c24dbf,The right to education and work and individual freedoms ,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
d1f9e52c-30d3-47e6-b415-d827ce2532a1,The rights that Islam gives to women ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
d26c734a-0a7d-4cf0-9926-7effcdbdc968,Freedom of decision ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
d2b359a6-5904-409c-ae51-3e987b8e4862,The right to choose a job ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d41c4671-bde9-458d-8ec7-58af990ff565,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
d45c1d80-d355-4180-9717-fe9d46f850ad,Education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
d6653195-1132-4a26-8b6e-f448de273cc9,The right to study and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
d8f4b3fd-0bad-4190-9de0-fd03d1f1a73f,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
d9134875-2fe0-4181-b8b9-7a65069cf95b,The right to participate side by side with men in all fields ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
d9c1cec3-7ed8-4cf6-85fa-48de640fa7b0,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
d9c24dc6-88e6-4b2c-a408-5fb2577897bc,Islamic demand 2 right to education,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
dac93141-66fe-432f-90e4-1c919c1fc518,"Education is the most important because it is this education that makes everything clear to us, what religion says, what the country is, how we should serve, and also everything in life is good for me. ",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
dafb94ba-10a0-4ba2-9ea0-bffd3a1cd144,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
dbbfa1f5-4c24-4998-ab42-70c87fd2a003,The right to choose a job and the right to access health services ,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
dbbfc3e8-e051-480e-9ab7-68e901987164,learning ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
dda93eec-c0cc-460e-946f-51aa40f454c0,the freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
e0868eec-5b43-4c06-8ffb-52e1bacc00dd,Religion and modern science ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e139f333-be7e-4283-8465-a7a797f97f45,The right to education is the most important thing for women ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
e19bac7b-ff86-445a-a72c-da05df249918,Freedom of expression ,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
e3241fcd-3596-4dc3-b9b8-c254586ea8d4,"Education, work and not being bothered ",,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,
e4bc1566-1ed0-45c1-bb0d-eea8263875e7,Freedom of Education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
e50049b7-5624-459b-92dc-5f769d5782d0,"Education and training in the field of medicine, raising children ",,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,
e69db031-d7a4-4011-8596-dc26a5c81c47,The right to agree with the Qur'an ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
e716d448-fbcd-4d19-9900-f52d0532f6ce,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
e86bc754-0e84-4982-8dba-bd2607ef646f,"Ms. Sports, you didn't mention it at all, how are the athletes, are they given the right to exercise or not? ",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
eae47da3-37e1-4823-bed4-16d6d8bf62f0,Hijab and education ,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
eb553498-a647-4c5e-b5c2-302852404b15,freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
eb578c36-effc-4b91-ac6a-1564feaa47ae,"Women should be given the right to education, women should perform duties in government offices, women should be given the right to live in the form of an Islamic society, as it is an Islamic country. ",,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,
eeef539d-a2bc-49ed-8433-c3b844b396fa,Do not marry at will ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ef5ff4cf-4eff-414c-af17-f1398a3f4d90,The right to participate in the income attorney government ,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
eff408e0-f9b9-4530-8c13-e5c809dbb674,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
f0332c6b-65c2-4a17-8b83-c57250260b96,"Islam sees man as a complete system and has developed a solution according to it, for example, man has spiritual, human, moral, and material values, and Islam has offered the best solution to solve the problems and rights of these values. ",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
f22244b9-b3c4-41f7-979d-a5d35ca4b187,"The right to education, the right to work, the right to choose, the right to be allowed without mahram, freedom of expression, the right to dress as a woman and the rights that a man enjoys in Afghanistan. ",,1,,1,1,,,,,,,1,1,1,,,,1,,,,,,,,,,,
f4ce8279-8f12-4a3b-99bf-5162ff569ca2,The right to education is very important ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
f761c955-09e7-46e1-a3f0-1bdf3d07efc1,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
f7f0d816-b9fa-44d4-8b2f-60c33c682537,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
f810c118-a290-47d2-91ea-71901a45e5ef,The right to education and the right to choose a husband ,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
f8b0017b-d321-4ee1-8bc9-7abc783c1cd0,The right to choose a spouse ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9acb48b-3b39-4223-9466-3894f5b4de92,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
fc961141-b52f-4fc7-8aef-a9478fa73e92,The right to work and study and still travel without Muharram ,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,
fdd2138a-a050-4643-b291-7ad4750bbde1,"The 3 most important things for women are the right to choose a spouse, the right to work and study. Other rights are also good, but they are not more important",,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
fe64f0da-86ce-4ba0-b122-ad83885f01cf,The right to education and the right to work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
fe6c0535-655e-407c-897b-9f7828ef0f8f,"Currently, Afghanistan is going through a difficult phase, and in terms of human rights, the right to education, national participation in the government, traveling without a mahram, etc., should be implemented for women. ",,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,
ff3c8c8f-b6cd-456b-85ec-00eed2a328da,Divorce Freedom ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,24,9,15,173,2,7,0,5,24,0,67,13,12,24,15,13,5,3,3,1,2,1,2,2,1,1,1,1
